key,title,summary,type,sessionInit,sessionFinish,link,key:tutorial
tutorialSession-01,t,summary1,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,ti,summary1,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1 with 74 characters pppppppppppppppppppppppppppppppppppppppppppppppp,summary1,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1 with 75 characters ppppppppppppppppppppppppppppppppppppppppppppppppp,summary1,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,"サンプルテキスト",summary1,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,"<script>alert('exampleJS');</script>",summary1,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1,s,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1,su,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1,this is a summary with a 99 character to test ppppppppppppppppppppppppppppppppppppppppppppppppppppp,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1,this is a summary with a 100 character to test ppppppppppppppppppppppppppppppppppppppppppppppppppppp,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1,summary1,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1,summary1,HANDS_ON,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1,summary1,BALANCED,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01
tutorialSession-01,title1,summary1,THEORY,2022/07/01 23:00,2023/07/01 23:00,https:\\www.lecture-01.com,tutorial-01